Unnamed: 0,Unnamed: 0.1,Date,time,cluster_type,classifier_type,cluster_num,Normal_class,base_auroc,odin_auroc,thresholds,one_ class,multi_ class,silhouette,db_score,ch_score,cluster_epochs,cluster_lr,classifier_epochs,OC_SVM,normal_distance,cosin distance,u distane,before_PLL_s,before_PLL_m,silhouette_b,silhouette_a,pooling,one_lw,one_emp,one_sh,one_osa,multi_lw,multi_emp,multi_sh,multi_osa,NMI,ARI,cluster_acc
,,2022-1-26,15-20-19,DEC_bert,DEC_bert,1.0,[1],0.5,0.5,2.0,0.8446032508607575,0.8480462807270397,,0.0,0.0,3.0,3e-05,3.0,0.6621226679477941,0.0,0.0,,0.8470453999519577,0.8480462807270397,0.0,0.0,mean,0.8470453999519577,0.0,0.8480462807270397,0.0,0.8470453999519577,0.0,0.8480462807270397,0.0,0.0,0.0,0.0
,,2022-1-26,15-23-49,DEC_bert,DEC_bert,2.0,[1],0.6784570421971337,0.6784770598126352,0.8414397835731506,0.8653014652894547,0.8310513251661463,,4.265615308540856,52.34104386995967,3.0,3e-05,3.0,0.4106613820161743,0.0,0.0,,0.8980102490191368,0.8921250700616542,0.0493221543729305,0.2286405861377716,mean,0.8656017295219792,0.0,0.8616782768836576,0.0,0.8540315477620307,0.0,0.8310513251661463,0.0,0.0,0.0,0.7039586919104991
,,2022-1-26,15-27-30,DEC_bert,DEC_bert,3.0,[1],0.8543117943790536,0.8693250060052846,0.9739328026771544,0.9198895027624312,0.9194491152213948,,3.435648067136484,68.30183902009897,3.0,3e-05,3.0,0.251561374009128,0.0,0.0,,0.8588758107134278,0.8976299143246056,0.0595403276383876,0.30366405844688416,mean,0.9202298022259592,0.0,0.918548322523821,0.0,0.9102810473216428,0.0,0.9194491152213948,0.0,6.712468450903705e-16,0.0,0.4629948364888124
,,2022-1-26,15-31-12,DEC_bert,DEC_bert,4.0,[1],0.1830410761470092,0.20438986307951,0.4322648048400879,0.6598806950116102,0.5935623348546721,,2.9667872216745392,35.495778842190646,3.0,3e-05,3.0,0.2685763471855233,0.0,0.0,,0.8913844182880936,0.8933461446072545,-0.0019073830917477,0.3141731023788452,mean,0.6691488509888702,0.0,0.684622467771639,0.0,0.6340579710144927,0.0,0.5935623348546721,0.0,0.0,0.0,0.7616179001721171
,,2022-1-26,15-34-59,DEC_bert,DEC_bert,5.0,[1],0.2741812795259829,0.2253182800864761,0.3899778723716736,0.7127872527824486,0.5447193530306671,,4.066460321705188,32.26040569982299,3.0,3e-05,3.0,0.2351669469132837,0.0,0.0,,0.8484866682680758,0.8136760349107214,0.003125867806375,0.1469147503376007,mean,0.7236568179998399,0.0,0.7530026423252462,0.0,0.7607894947553848,0.0,0.5447193530306671,0.0,0.0,0.0,0.5654044750430293
,,2022-1-26,15-38-46,DEC_bert,DEC_bert,6.0,[1],0.4844663303707262,0.5267435343101929,0.8816248178482056,0.8831171430859156,0.8309112018576348,,3.3442217717312275,35.29414818072689,3.0,3e-05,3.0,0.5256625830731043,0.0,0.0,,0.8727280006405637,0.8749899911922492,0.0075884470716118,0.16190528869628906,mean,0.8873608775722636,0.0,0.8893025862759227,0.0,0.91926895668188,0.0,0.8309112018576348,0.0,0.0,0.0,0.5266781411359724
,,2022-1-26,15-42-32,DEC_bert,DEC_bert,7.0,[1],0.3335535271038514,0.3797641924893905,0.3766630887985229,0.8439426695492033,0.7726599407478582,,3.676753194496417,33.342687999891055,3.0,3e-05,3.0,0.4111618224037153,0.0,0.0,,0.8353951477300023,0.8064897109456322,0.0074449726380407,0.08356686681509018,mean,0.8496476899671712,0.0,0.8557930979261751,0.0,0.8804347826086957,0.0,0.7726599407478582,0.0,0.0,0.0,0.3278829604130809
,,2022-1-26,15-46-24,DEC_bert,DEC_bert,8.0,[1],0.7411522139482745,0.8217131075346304,0.5921041965484619,0.9487949395468012,0.9476939706942108,,3.837162955799986,32.92304528834085,3.0,3e-05,3.0,0.3990511650252222,0.0,0.0,,0.8518095924413482,0.8155176555368724,0.016646696254611,0.06983761489391327,mean,0.9520177756425654,0.0,0.947974217311234,0.0,0.932660741452478,0.0,0.9476939706942108,0.0,0.0,0.0,0.2641996557659208
,,2022-1-26,15-50-34,DEC_bert,DEC_bert,9.0,[1],0.7183921851229083,0.6858535511249901,0.668675422668457,0.9084394266954922,0.8631996156617824,,3.484455108896509,32.055581059853374,3.0,3e-05,3.0,0.3295500040035231,0.0,0.0,,0.8658019056769957,0.8443830570902394,0.0138129731640219,0.10865332186222076,mean,0.9092801665465612,0.0,0.9105612939386658,0.0,0.8732884938746097,0.0,0.8631996156617824,0.0,0.0,0.0,0.2814113597246127
,,2022-1-26,15-54-35,DEC_bert,DEC_bert,10.0,[1],0.2580871166626631,0.2814877091840819,0.2860247194766998,0.8931459684522379,0.676195051645448,,3.65059089038634,26.42268596359333,3.0,3e-05,3.0,0.2493394186884458,0.0,0.0,,0.8670429978380976,0.6867843702458163,0.0164103712886571,0.10861378163099288,mean,0.8898630795099687,0.0,0.8854792217151093,0.0,0.8268075906797983,0.0,0.676195051645448,0.0,0.0,0.0,0.333907056798623
,,2022-1-26,15-58-44,DEC_bert,DEC_bert,11.0,[1],0.4272359676515334,0.4119925534470334,0.2439282387495041,0.903975498438626,0.737048602770438,,3.582489662713185,27.85588229706962,3.0,3e-05,3.0,0.2336456081351589,0.0,0.0,,0.8710665385539275,0.7910961646248699,0.0010136802447959,0.08018605411052704,mean,0.8993914644887501,0.0,0.8903234846665065,0.0,0.8133757706781968,0.0,0.737048602770438,0.0,0.0,0.0,0.2013769363166953
